index,product_name,rating,review_text
21,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These are budget friendly but don't last! I bought for my battery operated candles that typically use batteries for 6-8 weeks. Twice these batteries barely lasted 1 week. It was so disappointing. Amazon produce are usually so good, but I would not recommend these."
22,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Approximately half of the batteries I've tried so far are dead. Low expectations for the remainder of the lot, and never buy these again."
23,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"At least half of this batch had no charge, or at least so little that they died within an hour of being put in a walkie-talkie. Very disappointed"
24,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,These were OK. I don't think I'll but them in the future. I prefer Energizers.
25,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,These batteries won't last long. An led flashlight will drain them in a hurry. I usually like Amazon products but this is one to avoid.
26,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I've been using these on my roku remote and the lifespan is terrible. About two weeks, when Duracell's have been 1-2 months"
27,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Awful poor performance. My mouse ran for several weeks to several months from Duracells but have never gotten more that several days from these. Will not buy again.
28,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These batteries do not hold charge well. By the time I need to use it few weeks none of them work
29,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"BAD BATCH NOT LASTING!Have been using these for the Roku Remote, and they are dying after just a few days of use.Have been happy with Amazon battery purchases in the past.Not sure if the quality is overall lower than it once was, or if this was just a bad batch."
30,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,They for really fast
31,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Some of the four packs (02-2027) are bad upon first use.
32,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Theses did not work. Wanted to make sure I had batteries for the item I was purchasing but they did not work. I had to dig some out of my junk drawer.
33,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"They last a day in an xbox controller, if you're lucky"
34,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Many of the batteries are no good.
35,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Wish I didn't buy these. Amazon does a lot of things well but batteries No. Not so much. These do not work for more than a moment. Lay the extra for name brand.
36,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Terrible. Just changed the batteries on my wireless keyboard... yesterday. Already dead. Put another set in low powered christmas lights. Dead in about an hour. (I have another identical christmas light set, powered by Energizer batteries. Still going after many many days of running).Unfortunately bought the 48 pack. Won't make this mistake again."
37,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These batteries die very fast. These are used in a remote and I have replaced them 4 times within a year. The previous batteries lasted 3 years.
38,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"Somewhat disappointed with these batteries. They die rather quickly. I'm not using them for things that use a lot of power either. Like the remote for my TV. I have to change them frequently. Expiration date of 2026, but they go fast, unless I got a bad batch. I would rate them down there with cheap Rav-o-vac or a grocery store brand."
39,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,This batteries have been disappointing. Use them for holiday decorations and some of the items that used to go for weeks are not requiring batteries every couple of days.
40,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I have two Macs, each with their own wireless mac keyboards. I used these batteries in both keyboards and each worked great for several days. My desk keyboard failed to connect last week so I attempted to replace the batteries, but they had expanded inside the keyboard and will not come out. I assumed it was a chance happening. But now my wireless keyboard at my downstairs computer just failed. The batteries have expanded inside that keyboard as well and will not come out. Amazon refunded us for the batteries but now we need to replace the two keyboards the batteries ruined."
41,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Extremely short shelf-life and usage life would never buy Amazon batteries again
42,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Beware these batteries - I just packed them up for returning hated to have to do so but they lasted only 5 hours in tiny flashlights for my grand kids !!! Big disappointment too - won't buy this brand batteries again...nor do I recommend them to anyone out there !
43,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Just purchased in October and replaced the batteries in my camping lantern this past week using these. The batteries leaked inside the lantern so badly that it wrecked the device altogether. I attempted to clean the contacts and use a different brand batteries, but enough battery acid leaked that the plastic and internals have a permanent coat of oxidation on it. Had to buy a new lantern. Do not plan on purchasing again in future as the batteries are ineligible for a return at this point."
44,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,I was excited to see that Amazon was allowing its name to be used on batteries as I feel that Amazon is concerned about its image. Bought these batteries and placed four of them into my camera. Took 2 RAW photos and the batteries are now dead. What a disappointment.
45,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,2 out of the 8 batteries popped while on the charger. I got battery acid all over my hands trying to get them out and cleaned up.
46,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Batteries seem to work fine but they are packaged in multiples of 4 and it's an annoyance to break open a new pack each time. What's the point in buying in bulk with so much packaging
47,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,None of first eight batteries I opened worked. Tested other batteries to confirm was a battery problem. Confirmed!!!Wow.
48,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,I change the batteries at least once a month. These things eat batteries like crazy and are hardly used.
49,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Breaks down too fast and won't run my trail camera but around 6 hours.
50,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Had my first battery leak from the package. Installed batteries in November 2016 in house thermostat, so a fairly important device. Not sure when the leak began, but was discovered today (1/13/2017 - little more than two months later) after the furnace was running non-stop and house temperatures reached over 80 F. Checked the batteries and found one had leaked all over the contacts and battery holder in the thermostat."
51,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Leaked all over our lantern battery case. I purchased these batteries for an emergency since they had a long shelf life. I put 4 batteries into each of my lanterns and 2 each into my flashlights. I have multiple battery leaks between the lanterns and flashlights. I ended up spending over an hour cleaning up the battery cases and flashlights. I've purchased the AAA pack as well and don't seem to have the same problem.
52,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"These batteries did their job but did not last very long at all. At the time of writing this I used them about two months. Normally that would be good, but I only was using them in a set of LED string lights that I kept on at most an hour a day. In the past month I barely used them at all, because the batteries had started to die and alter the color of the lights. I had expected to get a lot longer use out of them, considering other brands I only need to change every six months at earliest."
53,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,I've had several of these 'fail' long before they should have. Several instances of having to replace them much sooner that competitors batteries.
54,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,This item arrived with no battery pack. There is no way to power the toy without it because you can't just use regular batteries.
55,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Be Careful with this one - I put 4 of these into my TV remote and almost immediately had one pop. I could hear a sizzling sound within the remote and I immediately took out the battery carrier (I inserted them in proper polarity). One of the batteries was actually fizzling at the female end where it had split and was leaking. Unreal.... I've never had a battery do this before. I will NOT be ordering these ever again.
56,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,I put these in a Pumpkin candle for Halloween and they lasted 4 days. I put them in a Flameless candle set of 5 and they lasted one week set on a timer to go on for 5 hours a night. These are really not economical. Best to pay the price for the good ones.
57,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Had these in my wii for 2 weeks and the batteries leaked all over.
58,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"I have encountered several AmazonBasics batteries lately which were dead on arrival. Since they are cheap, I just throw them in the trash and try some more. However this is concerning. If this occurs much more I will stop using them and purchase more traditional, reliable brands. Simply beware when you purchase these, some bad ones may be mixed in the batch."
59,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I just went to use these for the first time... and they exploded in the remote I put them in! Literally, a loud pop and a black liquid was leaking out into my remote and all over my hands. Needless to say, it scared me to death!"
60,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Sorry to say these batteries leaked in a lighted mirror and ruined it. C'mon, Amazon!"
61,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"bought these batteries because the duracell batteries tend to leak, but these batteries i had to replace in five light sets that the duracellslast months these lasted a week. The duracells leak but only if you leave them dormant in the fixture."
62,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Bought these for my sisters day care. She said half of them did not work at all, were dead when received"
63,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"For some reason, they are not working very well with my wireless mouse. Mouse pointer mover very slowly when I use these batteries, but it works fine when I use different batteries"
64,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"The batteries are sligtly bigger and will not fit in some electronics I thought AA was the standard size Nope, I was wrong, but the good news is I now am the proud owner of 48 slightly oversized batteries that do not fit in most of my battery operated devices. Perfect! Out of 9400 reviews nobody noticed the size issue with these"
65,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I love Amazon. I am a prime member. Have had an amazon credit card for 16 years. Think their service and pricing is second to none.But.... these batteries are garbage. Gar-bage.They really don't work or at the very least don't work most of the time. Even when they do appear to work they only last like 1/4 of the time a normal AA would. Maybe you can justify the pricing for certain situations.Should you use them for led string lights and hope they last a couple months Yep.Portable defribrilator No.RC car Sure.Camera for younger sister's wedding in the Greek Isles Nope.Vibrating nose hair trimmer Ok.Computer battery for your 17 hour flight to Siberia Nyet.Get my drift... sure try them out, and keep trying them, like I have, but don't put any faith in them."
66,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These are the WORST batteries I have ever encountered anywhere in my 46-year life! I am appalled that Amazon put their name on them I guarantee that if these had been my first Amazon purchase, I would never have done business here again. If they had not been wrapped in packs of 4 batteries in cellophane, I would have been certain that someone else had used them all up and then returned these batteries to Amazon.None of the batteries was anywhere close to full power - they couldn't provide adequate power to anything I tried them in for any battery-powered item to work properly. Candles and flashlights were so dim I would have required more of them than I am physically capable of carrying to avoid tripping over my own feet. None of the appliance remotes would even turn their respective appliances on after these batteries were inserted. Every item I tried these batteries in also stopped working completely due to a dead battery in less than 30 minutes.Obviously, I should have returned these batteries, and I'm sure I would have done so if my mom had not had a heart attack shortly after I received them. I am just grateful she is now doing so well that neither she nor her cardiac surgeon have to rely on any battery-powered device!!!"
67,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"This set of batteries exploded being stored in my garage, right next to a set of duracell. Duracell is fine."
68,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Not good. Don't last a week.
69,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,The ones that work work fine however I've just had to toss eight because they're dead. don't work. not happy
70,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These are wretched batteries. They typically last only two weeks in a TV remote control device, they can't power a computer's mouse beyond a week, and I have serious doubts about their shelf life. Packaging is nice, though, sort of like The Washington Post."
71,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Bad investment. Some of the batteries did not even work - no juice in them. Really surprised by the poor quality, Amazon Basics."
72,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Terrible batteries!! They exploded all over my face. Received them on a Monday and that Sunday was having problems with my remote so I opened it up and was sprayed in the face with acid. Luckily it missed my eye. I have bought cheap batteries before and never had anything like this happen before!!
73,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"From experience, the worst batteries I've ever purchased. Not sure if these were manufactured second hand but more than half of the pack died within ONE USE. As a new mom who depends on the quality and longevity of a good battery for her child's needs, I will never order this product ever again."
74,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,I can only think of one way to describe this item...JUNK!!!
75,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"I use these for my son's Thomas and friends trains, and they didn't last very long. Maybe 2 days at the most. Won't be ordering these again."
76,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"Probably should have rated these one star, but I didn't because I like Amazon as a whole. These batteries are soooo bad though! They were comparable to the Kirkland ones at Costco in price so I decided to switch things up and try these out. Huge mistake. These last half the life of Kirkland's. Not kidding. Not worth it. These are cheap!!!!!!!!"
77,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,I realized after purchasing that the reason you get so many for such great price is because it takes the entire box to equate to one 12 pack of more expensive batteries. The life on these is terrible! I've used them in everything from remote controls to kid toys and they run out VERY fast. Go ahead and spend the extra money for a better quality battery.
78,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Only 3 worked out of the entire pack.
79,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These batteries did not do the job for us. They were low powered and did not last as long as their competition.I thought all AA batteries were the same but after our experience with these I have to say that you get what you pay for.I am not sure how or why they are different than other batteries, lower voltage less capacitanceThey are cheap - do not buy them."
80,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"They sure wore out quick! We normally go thru about a dozen AAA batteries in a year. We use them most for TV remotes and wireless mouses. But we replacing these every month. I was quite amazed at how quickly they were wearing out! I have a battery checker and once they hit yellow, they were done.Cheap batteries but I would not recommend nor will I buy again."
81,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"They're cheap but we went through these in less than half the time of the previous pack of the same, which was Duracell. I was hoping the brand wouldn't matter but it seems that in this case, it does."
82,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These run down in my TV remote quicker than any battery I have used. TV says low battery within a week of installing. I will try another brand next time. Amazon, please keep an eye on quality and have your manufacturer test and give you results periodically. They will often provide good samples for evaluation early in production and then lower quality later."
83,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Amazon brand batteries are very poor quality. Don't last more than 3 months in a remote control (which barely uses any power). This is shameful and stupid as it diminishes confidence in the Amazon brand name.
84,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Very nice looking in picture and from a distance but the clock itself is cheaply made....The actual clock mechanism stopped working twice and doesn't work at all now.
85,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"The positive cap is just a little shorter than it's supposed to be. That means battery holders which have shoulders built into them, the positive terminal doesn't touch the contact. The Chinese find creative ways to cut corners to achieve the desired price point of the customer. They do not sacrifice profit...they sacrifice quality...they sacrifice quantity and they sacrifice material. Thanks China!"
86,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,These batteries held up about as well as dollar store batteries. Very disappointed in quality.
87,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"While most, modern day batteries no longer contain mercury, the Amazon basics battery line unfortunately does. Which means they're bad for the environment, and not able to be disposed of other than in appropriate hazardous waste. I'll spend the extra few dollars and buy a name brand"
88,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Stopped working in less than 3 months.
89,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These batteries are crap. Last a few days in xbox controller. Energizer lasts months. Don't waste your money.
90,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"DO NOT PURCHASE! These batteries leaked in a machine I was using in my kids room to project stars on the ceiling. When I picked the projector up, it leaked battery fluid on me and burned my arms and legs. It could have gotten on my children! The leaking fluid also ruined the projector.The batteries were new, stored at room temp, used at room temp, not recharged, and not exposed to any fluid or abnormal conditions. Disposing in the appropriate manner.ETA: I was VERY happy with Amazon's resolution despite this bad experience. Thanks Amazon... I'll order batteries from you again. Just not your brand..."
91,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Just put them in 3 days ago and already dead. Going with the name brand next time.
92,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"With four kids under the roof, their toys are always in need of AA batteries. I had purchased this AmazonBasics pack of AA batteries for exactly that purpose. The expiration year reads 2024, but after just two years of sitting on the shelf, the batteries that are left are all but dead. They weren't left in cold storage to freeze, they were right on the shelf in our living room. I ended-up going to Radio Shack and purchasing one of their batteries instead.I can only imagine that most of the 5-star reviews for this product are based off initial impressions and short-term use. It's really sad that they just can't hold their own after only two years. Will stick with known brands from now on."
93,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Bought a box of 36 aaa batteries and all batteries were dead. Don't waste your money. The only way I rated it 1one star is because it would not except ZERO stars which is what this product deserves.
94,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,None of these batteries had a full charge. My charge detector never reached the green zone. They were one half used up. This was true for the other two sizes D and AAA.
95,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,All the batteries came dead. None of them worked. Don't bother buying these.
96,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I got two of these batteries with my Fire TV stick. Loaded them in and everything was good for 1.5 days. Then the Fire TV stick stopped responding. I trouble shooted with no fix. Called customer service and they had me trouble shoot too, started by saying can you change the batteries.... my response ... seriously, you want me to change the batteries, it's a freaking TV stick what could possibly be wrong, the batteries are brand new and came with the device. So I was changing the batteries as I was saying all that only for the new batteries to fix the problem. So.... these amazon batteries died in 1.5 days. How does that happen"
97,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,It's seems as thought all of the batteries in the package are already dead. They are only lasting 3-4 days in the devices I'm putting them in. Fairly disappointed
98,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These are the worst batteries I have ever come across. I just discovered today that mostof the batteries I was sent were dead. I put 8 batteries into a device 3 weeks ago and the batteries were already dead (energizers lasted a year and a half in the same device) I put 4 others into another device and they lasted only 1 month (energizers lasted 2 years in this device). Both devices were operated under the same conditions. I tried putting new Amazon batteries into the devices, and the devices didn't work I tried putting another set in, same problem. I then placed Energizer batteries into the devices, and they work. I essentially bought 12 working batteries that lasted less than a month in devices that used them in such a manner they would last 12x as long. Never purchasing Amazon batteries again. I would return them for being dead, but I am outside the 30 day return window."
99,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"The batteries were not operable out of the package. Thought it was the appliance, but replaced with other batteries and it worked fine. Luckily, Amazon's return policy is amazing but I doubt I'll try another one of their Basics brand items anytime soon."
100,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Defective and cheap. Only a third held any charge and those died super fast.
101,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"We must have gotten a defective lot, because these have caused every fire alarm in the house to sound within days of installing these batteries. Too late to return. So much for 10 year shelf life."
102,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Defective! All Amazon batteries I tried over the past year have been defectlve. Most too short. I have to constantly pull the spring, if the device has the spring, and roll the battery around to get it to work again. These are new batteries. Many of the batteries were thrown away because we thought they had been used up. It wasn't until recently that we realized it was all the Amazon batteries that were causing the problem. I was on the phone with Amazon for two hours yesterday trying to get these orders straighten that out. I still have no confirmation that I do not have to send the batteries back because many went into the trash."
103,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I am now trying to use the batteries and basically they are not working. Perhaps they are old, but they are just plain not working. I put in a Duracell and my headphones work. I put any one of the 36 batteries in the headphones - and it is not working. It is not worth the effort to get my 10 back."
104,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These batteries wore out much too quickly. I almost replaced the weather station after it went through 2 sets of batteries in about 1 month. Luckily, something else with the same kind of batteries burned out the same day and I realized that the batteries were bad, not the electronics. ."
105,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Batteries dead as of June 1. I did not use half of then. Good for 6 months.
106,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"We used in an August smart lock. We expected to get about 2-3 months of use based on the energizer batteries that came with the lock, but batteries died in 2 weeks."
107,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,DID NOT RECIEVE AA I only recieved Cbatteries!
108,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,I bought these for remotes in my home. I'm constantly having to change them and sometimes the brand new batteries don't work.
109,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Ive gone thru half the box. Everyone of these batteries lasted for about 10 minutes and then died. Not happy at all! Wasted money on something i needed.
110,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I have no idea why these batteries are reviewed so well. I used them in a small LED keyboard light for my computer, and I had to change them weekly. Sure you get more batteries for less money, but in total I think you'd be better off buying a quality brand."
111,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"These batteries die out a lot faster than the Duracell batteries we normally purchase. Yes, they are cheaper, but unfortunately more batteries are ending up in the landfills because we are going through these too fast."
112,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"They didn't last long, do not waste your money!! Die quickly, most of them didn't even work out of the package!!"
113,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Hi ordered these thinking they were a great price, but sadly they die very quickly."
114,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,these suck! They run out in literally just a few days. I have used several sets of these for my AC thermostat which is battery powered and the thermostat died every few days when using amazon brand batteries. using Duracell or energizer - they last for at least a few mos. I will never buy amazon batteries again. You get what you pay for.
115,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,these batteries died very quickly when compared to energizer or Duracell. Spend a little more and get a lot more battery life.
116,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,run out super quick! would not buy again
117,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"Holds basically a 30 minute steady usage charge and dies. We used these in microphones, and they died within the 30-40 minute range, fully charged.It also seems that the older they get, the longer it takes to charge and the faster they die out. Not very reliable, unfortunately."
118,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Cheap price but they sure don't last very long. I won't buy the Amazn brand again.
119,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Disappointed by the amount of time these batteries lasted.
120,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Do not hold charge as well as major brands.
121,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Does not turn well at all. Will be returning it
122,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"I love Amazon, but these aren't at the same level as the big brands. I use them in some monitoring devices in my home. Typically I would need to change these every 3 months, but these are lasting about 6-7 weeks at best. They're ok, but just don't have the life expectancy I need."
123,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,these batteries are terrible very disappointed. i have purchased before great long lasting very powerful. i must have received a bad batch they don't last very long. i may not purchase again.
124,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Worked for one day, then stopped working. Can't tell if it deterred any cats because it only went off when I walked by, but didn't register the cats when they jumped on the counter.Would not recommend."
125,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Disappointed with this product. Used them for led candles and had to wiggle them around to get them to work. At the same time I also purchase ACDelco Batteries because Amazon would only allow the purchase of one box. I'm glad I did because the ACDelco batteries worked great! I would not purchase AmazonBasics batteries again.
126,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,The price was right but they just don't last as long as the other name brand batteries so it's not worth it.
127,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Sadly these batteries are horrible! I hardly ever have complaints about anything I order but these batteries barely have any power and I've had to change them out many times.
128,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These batteries literally only last 15 minutes inside of each device I put them in. When I researched the product, they told me the only way was to spend 50 on the recharger for these batteries. I personally do not buy batteries to have to spend more than what I spent on them in whole to have to buy a whole other product to recharge them. Worst amazon product I ever wasted my money on"
129,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These batteries were a huge disappointment. I used two in my amazon tv remote and they lasted only 2 weeks. Usually, I only need to change batteries in that remote every 3-4 months or so. Total ripoff."
130,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I am disappointed with this purchase. I purchased these for my Dad, delivered to him in October, 2015. I am visiting, and just opened the brand new package, and inserted 4 of them to run his blood pressure cuff. The machine worked, but the battery indicator showed low, I switched the batteries with other brand new amazon batteries - same reading. Then I switched with another set of name brand batteries, and the battery indicator showed high/full. If I was home, I would have used my battery meter. No 10 year shelf life - not even a 10 month shelf life. Amazon, I am usually one of your biggest fans, but not this time."
131,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"For some reason, these just haven't held a charge the way the Duracells I've used the past do. I've used these in those small-wired-LED lights you can use for decorations. Those lights take 3 AA batteries and while the old Duracells I've used lasted several months on a 4-hour on, 16 hour-off timer, these are lasting just a few weeks."
132,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These batteries are not lasting at all.... very short life on them... super disappointed...
